title,price,rating,page
A Light in the Attic,51.77,Three,1
Tipping the Velvet,53.74,One,1
Soumission,50.1,One,1
Sharp Objects,47.82,Four,1
Sapiens: A Brief History of Humankind,54.23,Five,1
The Requiem Red,22.65,One,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,1
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,1
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,1
The Black Maria,52.15,One,1
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,1
Shakespeare's Sonnets,20.66,Four,1
Set Me Free,17.46,Five,1
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,1
Rip it Up and Start Again,35.02,Five,1
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,1
Olio,23.88,One,1
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,1
Libertarianism for Beginners,51.33,Two,1
It's Only the Himalayas,45.17,Two,1
In Her Wake,12.84,One,2
How Music Works,37.32,Two,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,2
Chase Me (Paris Nights #2),25.27,Five,2
Black Dust,34.53,Five,2
Birdsong: A Story in Pictures,54.64,Three,2
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,2
Aladdin and His Wonderful Lamp,53.13,Three,2
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Five,2
Wall and Piece,44.18,Four,2
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,2
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,2
The Elephant Tree,23.82,Five,2
The Bear and the Piano,36.89,One,2
Sophie's World,15.94,Five,2
Penny Maybe,33.29,Three,2
Maude (1883-1993):She Grew Up with the country,18.02,Two,2
"In a Dark, Dark Wood",19.63,One,2
Behind Closed Doors,52.22,Four,2
You can't bury them all: Poems,33.63,Two,2
Slow States of Collapse: Poems,57.31,Three,3
Reasons to Stay Alive,26.41,Two,3
Private Paris (Private #10),47.61,Five,3
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,3
Without Borders (Wanderlove #1),45.07,Two,3
When We Collided,31.77,One,3
"We Love You, Charlie Freeman",50.27,Five,3
Untitled Collection: Sabbath Poems 2014,14.27,Four,3
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,3
Unicorn Tracks,18.78,Three,3
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,3
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,3
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,3
This One Summer,19.49,Four,3
Thirst,17.27,Five,3
The Torch Is Passed: A Harding Family Story,19.09,One,3
The Secret of Dreadwillow Carse,56.13,One,3
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,3
The Past Never Ends,56.5,Four,3
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,3
The Nameless City (The Nameless City #1),38.16,Four,4
The Murder That Never Was (Forensic Instincts #5),54.11,Three,4
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,4
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,4
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,Five,4
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,One,4
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,One,4
The Death of Humanity: and the Case for Life,58.11,Four,4
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,Three,4
The Art Forger,40.76,Three,4
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,One,4
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,Five,4
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,Four,4
Soul Reader,39.58,Two,4
Security,39.25,Two,4
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,4
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,Two,4
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,Two,4
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,Three,4
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,Five,5
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,5
"Pop Gun War, Volume 1: Gift",18.97,One,5
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,Two,5
Patience,10.16,Three,5
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,Four,5
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,One,5
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,One,5
On a Midnight Clear,14.07,Three,5
Obsidian (Lux #1),14.86,Two,5
My Paris Kitchen: Recipes and Stories,33.37,Two,5
Masks and Shadows,56.4,Two,5
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,Four,5
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,Two,5
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,Three,5
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,Two,5
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,One,5
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,Two,5
Join,35.67,Five,5
In the Country We Love: My Family Divided,22.0,Four,5
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,Five,6
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,Two,6
I am a Hero Omnibus Volume 1,54.63,Three,6
How to Be Miserable: 40 Strategies You Already Use,46.03,One,6
Her Backup Boyfriend (The Sorensen Family #1),33.97,One,6
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,Two,6
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,Three,6
First and First (Five Boroughs #3),15.97,Four,6
Fifty Shades Darker (Fifty Shades #2),21.96,One,6
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,Two,6
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,Two,6
Danganronpa Volume 1,51.99,Four,6
Crown of Midnight (Throne of Glass #2),43.29,Three,6
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,Four,6
Camp Midnight,17.08,Four,6
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,Five,6
Burning,28.81,Three,6
Bossypants,49.46,Two,6
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,Two,6
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two,6
Algorithms to Live By: The Computer Science of Human Decisions,30.81,One,7
A World of Flavor: Your Gluten Free Passport,42.95,One,7
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,Five,7
A Murder in Time,16.64,One,7
A Flight of Arrows (The Pathfinders #2),55.53,Five,7
A Fierce and Subtle Poison,28.13,Four,7
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One,7
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,Five,7
You Are What You Love: The Spiritual Power of Habit,21.87,Four,7
