source,target,travel_time_min,route_type
s1,s2,5,Express
s2,s3,8,Shuttle
s3,s4,11,Metro
s4,s5,3,Express
s5,s6,6,Shuttle
s6,s7,9,Metro
s7,s8,12,Express
s8,s9,4,Shuttle
s9,s10,7,Metro
s10,s11,10,Express
s11,s12,2,Shuttle
s12,s13,5,Metro
s13,s14,8,Express
s14,s15,11,Shuttle
s15,s16,3,Metro
s16,s17,6,Express
s17,s18,9,Shuttle
s18,s19,12,Metro
s19,s20,4,Express
s20,s21,7,Shuttle
s21,s22,10,Metro
s22,s23,2,Express
s23,s24,5,Shuttle
s24,s25,8,Metro
s25,s26,11,Express
s26,s27,3,Shuttle
s27,s28,6,Metro
s28,s29,9,Express
s29,s30,12,Shuttle
s30,s31,4,Metro
s31,s32,7,Express
s32,s33,10,Shuttle
s33,s34,2,Metro
s34,s35,5,Express
s35,s36,8,Shuttle
s36,s37,11,Metro
s37,s38,3,Express
s38,s39,6,Shuttle
s39,s40,9,Metro
s40,s41,12,Express
s1,s16,8,Shuttle
s4,s23,12,Metro
s7,s31,16,Express
s10,s38,7,Shuttle
s13,s45,11,Metro
s18,s34,15,Express
s21,s41,6,Shuttle
s25,s47,10,Metro
s29,s50,14,Express
s33,s44,5,Shuttle
