id,station_name,district,daily_passengers,station_type
s1,Station 1,Central,1373,Terminal
s2,Station 2,North,1546,Transfer
s3,Station 3,South,1719,Local
s4,Station 4,East,1892,Terminal
s5,Station 5,West,2065,Transfer
s6,Station 6,Central,2238,Local
s7,Station 7,North,2411,Terminal
s8,Station 8,South,2584,Transfer
s9,Station 9,East,2757,Local
s10,Station 10,West,2930,Terminal
s11,Station 11,Central,3103,Transfer
s12,Station 12,North,3276,Local
s13,Station 13,South,3449,Terminal
s14,Station 14,East,3622,Transfer
s15,Station 15,West,3795,Local
s16,Station 16,Central,3968,Terminal
s17,Station 17,North,4141,Transfer
s18,Station 18,South,4314,Local
s19,Station 19,East,4487,Terminal
s20,Station 20,West,4660,Transfer
s21,Station 21,Central,4833,Local
s22,Station 22,North,5006,Terminal
s23,Station 23,South,5179,Transfer
s24,Station 24,East,5352,Local
s25,Station 25,West,5525,Terminal
s26,Station 26,Central,5698,Transfer
s27,Station 27,North,5871,Local
s28,Station 28,South,6044,Terminal
s29,Station 29,East,6217,Transfer
s30,Station 30,West,6390,Local
s31,Station 31,Central,6563,Terminal
s32,Station 32,North,6736,Transfer
s33,Station 33,South,6909,Local
s34,Station 34,East,7082,Terminal
s35,Station 35,West,7255,Transfer
s36,Station 36,Central,7428,Local
s37,Station 37,North,7601,Terminal
s38,Station 38,South,7774,Transfer
s39,Station 39,East,7947,Local
s40,Station 40,West,8120,Terminal
s41,Station 41,Central,8293,Transfer
s42,Station 42,North,8466,Local
s43,Station 43,South,8639,Terminal
s44,Station 44,East,8812,Transfer
s45,Station 45,West,8985,Local
s46,Station 46,Central,9158,Terminal
s47,Station 47,North,9331,Transfer
s48,Station 48,South,9504,Local
s49,Station 49,East,9677,Terminal
s50,Station 50,West,9850,Transfer
